Symbol, Name, Sector
ACB.VN, Ngân hàng Thương mại Cổ phần Á Châu, Ngân hàng
BVH.VN,Tập đoàn Bảo Việt, Bảo hiểm
CTG.VN,Ngân hàng Thương mại cổ phần Công thương Việt Nam, Ngân hàng
FPT.VN,Công ty Cổ phần FPT, Công nghệ
GAS.VN ,Tổng Công ty Khí Việt Nam - Công ty Cổ phần, Dầu khí
GVR.VN,Tập đoàn Công nghiệp Cao su Việt Nam, Sản xuất
HDB.VN, Ngân hàng Thương mại Cổ phần phát triển TPHCM,Ngân hàng
HPG.VN,Công ty Cổ phần Tập đoàn Hòa Phát, Dầu khí
KDH.VN,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền, Xây dựng
MBB.VN,Ngân hàng Quân đội, Ngân hàng
MSN.VN, Công ty Cổ phần Tập đoàn Ma San, Thực phẩm
MWG.VN,Công ty Cổ phần Đầu tư Thế giới di động, Công nghệ
NVL.VN,Công ty Cổ phần Tập đoàn Đầu tư địa ốc No Va, Bất Động Sản
PDR.VN,Công ty Cổ phần Phát triển Bất động sản Phát Đạt, Bất Động Sản
PLX.VN, Tập đoàn xăng dầu Việt Nam, Dầu khí
PNJ.VN ,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận, Trang sức
POW.VN,Tổng công ty Điện lực Dầu khí Việt Nam, ĐIện lực
SAB.VN,Tổng công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn, Thực phẩm
SSI.VN,Công ty Cổ phần Chứng khoán SSI, Chứng khoán
STB.VN,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín, Ngân hàng
TCB.VN,Ngân hàng TMCP Kỹ Thương Việt Nam, ngân hàng
TPB.VN, Ngân hàng Thương mại Cổ phần Tiên Phong, Ngân hàng
VCB.VN, Ngân hàng TMCP Ngoại Thương Việt Nam, Ngân hàng
VHM.VN, Công ty Cổ phần Vinhomes, Bất động sản
VJC.VN, Công ty Cổ phần Hàng không VietJet, Hàng không
VNM.VN, Công ty Cổ phần Sữa Việt Nam, Thực phẩm
VPB.VN, Ngân hàng TMCP Việt Nam Thịnh Vượng, ngân hàng
VRE.VN, Công ty Cổ phần Vincom Retail, bán lẻ
